state,x,y
Andhra Pradesh,-85.0,-224.0
Arunachal Pradesh,301.0,137.0
Assam,233.0,84.0
Bihar,81.0,65.0
Chattisgarh,-16.0,-43.0
Goa,-211.0,-212.0
Gujarat,-275.0,-2.0
Haryana,-153.0,160.0
Himachal Pradesh,-133.0, 242.0
Jammu And Kashmir,-170.0, 328.0
Jharkhand, 64.0,6.0
Karnataka, -177.0,-231.0
Kerela, -151.0,-336.0
Madhya Pradesh,-131.0,-7.0
Maharashtra,-188.0,-107.0
Manipur,285.0,35.0
Meghalaya,222.0,59.0
Mizoram,264.0,-3.0
Nagaland,305.0,77.0
Orissa,50.0,-69.0
Punjab,-177.0,206.0
Rajasthan,-227.0,94.0
Sikkim,153.0,116.0
Tamil Nadu,-97.0,-325.0
Tripura,232.0,11.0
Uttar Pradesh,-57.0,107.0
Uttarakhand,-89.0,197.0
West Bengal,134.0,-9.0
Telangana,-89.0,-146.0
